MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_wild_imp	N_wild_imp	p_biobest_imp	N_biobest_imp	p_rufocinctus	N_rufocinctus	p_kopper_imp	N_kopper_imp	p_vagans	N_vagans	p_ternarius	N_ternarius
Fatty acid biosynthesis, elongation	8.821696058322533e-42	1	1	NA	M00083	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bi_BB3_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	8.821696058322533e-42	1	1	NA	M00001	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_FG_1,Bi_MB_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Glycolysis, core module involving three-carbon compounds	8.821696058322533e-42	1	1	NA	M00002	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_FG_1,Bi_MB_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	8.821696058322533e-42	1	1	NA	M00050	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bi_BB3_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Heme biosynthesis, plants and bacteria, glutamate => heme	8.821696058322533e-42	1	1	NA	M00121	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	8.821696058322533e-42	1	1	NA	M00570	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP2_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB3_1,Bi_BB3_2,Bi_KP2_1,Bi_BB2_1,Bi_BB2_2,Bi_PI_2	1	12	1	6	1	6	1	6	1	5	1	4
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	8.821696058322533e-42	1	1	NA	M00060	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	8.821696058322533e-42	1	1	NA	M00527	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bi_BB3_1,Bt_MB_2,Bi_BP_1,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	8.821696058322533e-42	1	1	NA	M00526	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bi_BB3_1,Bt_MB_2,Bi_BP_1,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	8.821696058322533e-42	1	1	NA	M00016	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bi_BB3_1,Bt_MB_2,Bi_BP_1,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
PRPP biosynthesis, ribose 5P => PRPP	8.821696058322533e-42	1	1	NA	M00005	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_FG_1,Bi_MB_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BP_1	1	12	1	6	1	6	1	6	1	5	1	4
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	8.821696058322533e-42	1	1	NA	M00006	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_CM_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_FG_1,Bi_MB_1,Bv_BP_2,Bv_PI_2,Br_CM_2,Br_ML_1,Br_ML_2,Bv_PI_1,Bv_ML_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_BP_1,Bv_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	8.821696058322533e-42	1	1	NA	M00579	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bi_BB3_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BP_1	1	12	1	6	1	6	1	6	1	5	1	4
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	8.821696058322533e-42	1	1	NA	M00093	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	8.821696058322533e-42	1	1	NA	M00938	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_BP_1	1	12	1	6	1	6	1	6	1	5	1	4
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	8.821696058322533e-42	1	1	NA	M00052	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Br_CM_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
Pyruvate oxidation, pyruvate => acetyl-CoA	8.821696058322533e-42	1	1	NA	M00307	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	8.821696058322533e-42	1	1	NA	M00022	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_CM_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bv_BP_2,Bv_PI_2,Br_ML_1,Bt_MB_2,Br_CM_2,Br_ML_2,Bv_PI_1,Bv_ML_1,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_BP_1,Bv_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Tetrahydrofolate biosynthesis, GTP => THF	8.821696058322533e-42	1	1	NA	M00126	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
Threonine biosynthesis, aspartate => homoserine => threonine	8.821696058322533e-42	1	1	NA	M00018	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_BP_1	1	12	1	6	1	6	1	6	1	5	1	4
Tryptophan biosynthesis, chorismate => tryptophan	8.821696058322533e-42	1	1	NA	M00023	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP2_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_BP_1,Bi_KP2_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2	1	12	1	6	1	6	1	6	1	5	1	4
UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	8.821696058322533e-42	1	1	NA	M00909	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_CM_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_FG_1,Bi_MB_1,Bv_BP_2,Bv_PI_2,Br_ML_1,Bt_MB_2,Br_CM_2,Br_ML_2,Bv_PI_1,Bv_ML_1,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bv_ML_2,Bi_BP_1	1	12	1	6	1	6	1	6	1	5	1	4
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	8.821696058322533e-42	1	1	NA	M00019	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP2_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB3_1,Bi_BB3_2,Bi_KP2_1,Bi_BB2_1,Bi_BB2_2,Bi_BP_1,Bi_PI_2	1	12	1	6	1	6	1	6	1	5	1	4
beta-Oxidation, acyl-CoA synthesis	8.821696058322533e-42	1	1	NA	M00086	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Br_CM_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_BB3_1	1	12	1	6	1	6	1	6	1	5	1	4
